lad_name,year,construction,manufacture,primary,services
Anglesey,2009,280,70,40,1255
Anglesey,2010,275,60,45,1205
Anglesey,2011,285,50,50,1245
Anglesey,2012,285,65,55,1205
Anglesey,2013,280,55,50,1215
Anglesey,2014,300,65,55,1385
Blaenau Gwent,2009,130,85,0,665
Blaenau Gwent,2010,120,85,0,630
Blaenau Gwent,2011,130,70,0,675
Blaenau Gwent,2012,115,60,0,685
Blaenau Gwent,2013,130,70,0,710
Blaenau Gwent,2014,150,55,0,840
Bridgend,2009,410,175,15,2365
Bridgend,2010,390,180,25,2275
Bridgend,2011,400,195,25,2275
Bridgend,2012,375,195,15,2285
Bridgend,2013,380,230,5,2360
Bridgend,2014,400,300,10,2590
Caerphilly,2009,485,230,25,2230
Caerphilly,2010,440,240,25,2185
Caerphilly,2011,460,230,25,2275
Caerphilly,2012,440,235,20,2255
Caerphilly,2013,475,215,20,2410
Caerphilly,2014,495,245,25,2750
Cardiff,2009,850,400,35,7140
Cardiff,2010,795,360,35,7025
Cardiff,2011,785,395,35,7245
Cardiff,2012,770,390,40,7295
Cardiff,2013,820,420,40,7825
Cardiff,2014,850,410,30,8865
Carmarthenshire,2009,775,330,140,3835
Carmarthenshire,2010,725,310,160,3660
Carmarthenshire,2011,760,305,170,3695
Carmarthenshire,2012,720,285,160,3655
Carmarthenshire,2013,730,290,180,3695
Carmarthenshire,2014,790,300,190,4060
Ceredigion,2009,375,105,80,1890
Ceredigion,2010,375,110,85,1870
Ceredigion,2011,385,105,100,1865
Ceredigion,2012,365,125,100,1830
Ceredigion,2013,355,115,95,1800
Ceredigion,2014,375,105,100,1950
Conwy,2009,390,110,50,2540
Conwy,2010,370,115,55,2490
Conwy,2011,375,115,55,2535
Conwy,2012,380,125,60,2540
Conwy,2013,375,140,60,2580
Conwy,2014,415,135,60,2920
Denbighshire,2009,360,140,55,2070
Denbighshire,2010,335,125,55,2025
Denbighshire,2011,340,110,55,2025
Denbighshire,2012,330,120,60,2035
Denbighshire,2013,350,115,60,2115
Denbighshire,2014,375,140,50,2345
Flintshire,2009,595,335,50,2945
Flintshire,2010,530,305,50,2920
Flintshire,2011,520,300,45,3040
Flintshire,2012,515,280,50,3090
Flintshire,2013,530,295,35,3170
Flintshire,2014,550,310,45,3460
Gwynedd,2009,565,160,105,2940
Gwynedd,2010,550,155,105,2895
Gwynedd,2011,555,155,115,2915
Gwynedd,2012,520,160,120,2870
Gwynedd,2013,520,160,115,2875
Gwynedd,2014,590,160,145,3150
Merthyr Tydfil,2009,130,30,0,645
Merthyr Tydfil,2010,140,35,0,625
Merthyr Tydfil,2011,135,45,0,635
Merthyr Tydfil,2012,140,30,0,670
Merthyr Tydfil,2013,185,25,0,715
Merthyr Tydfil,2014,190,40,0,790
Monmouthshire,2009,350,130,30,2620
Monmouthshire,2010,325,135,35,2545
Monmouthshire,2011,325,140,35,2635
Monmouthshire,2012,335,115,40,2585
Monmouthshire,2013,335,125,45,2705
Monmouthshire,2014,360,185,55,2910
Neath Port Talbot,2009,350,175,15,1875
Neath Port Talbot,2010,360,170,20,1815
Neath Port Talbot,2011,365,160,25,1795
Neath Port Talbot,2012,335,150,25,1750
Neath Port Talbot,2013,340,150,30,1865
Neath Port Talbot,2014,405,165,35,2065
Newport,2009,370,175,10,2440
Newport,2010,360,170,5,2375
Newport,2011,350,175,5,2450
Newport,2012,310,170,5,2415
Newport,2013,310,175,0,2525
Newport,2014,330,175,5,2900
Newtownabbey,2009,260,95,15,1270
Newtownabbey,2010,225,85,15,1240
Newtownabbey,2011,225,95,15,1250
Newtownabbey,2012,220,90,15,1240
Newtownabbey,2013,210,80,10,1275
Newtownabbey,2014,210,105,15,1205
Pembrokeshire,2009,620,185,115,3060
Pembrokeshire,2010,600,170,110,2855
Pembrokeshire,2011,590,165,110,2860
Pembrokeshire,2012,545,180,120,2870
Pembrokeshire,2013,535,195,135,2955
Pembrokeshire,2014,545,190,145,3180
Powys,2009,760,320,175,3945
Powys,2010,730,320,185,3925
Powys,2011,740,310,190,3985
Powys,2012,740,315,185,3885
Powys,2013,740,310,195,3895
Powys,2014,765,335,215,4150
"Rhondda, Cynon, Taff",2009,685,310,20,3060
"Rhondda, Cynon, Taff",2010,645,295,30,3015
"Rhondda, Cynon, Taff",2011,665,285,15,3140
"Rhondda, Cynon, Taff",2012,685,235,15,3065
"Rhondda, Cynon, Taff",2013,730,250,20,3190
"Rhondda, Cynon, Taff",2014,775,285,20,3665
Swansea,2009,625,295,55,4350
Swansea,2010,595,270,45,4080
Swansea,2011,620,275,50,4140
Swansea,2012,605,290,50,4105
Swansea,2013,615,300,55,4250
Swansea,2014,655,300,55,4715
The Vale of Glamorgan,2009,375,155,25,2550
The Vale of Glamorgan,2010,350,155,20,2575
The Vale of Glamorgan,2011,365,165,15,2595
The Vale of Glamorgan,2012,355,165,10,2640
The Vale of Glamorgan,2013,370,180,20,2800
The Vale of Glamorgan,2014,410,195,20,3070
Torfaen,2009,295,125,0,1180
Torfaen,2010,265,135,5,1130
Torfaen,2011,275,130,5,1165
Torfaen,2012,255,135,5,1145
Torfaen,2013,265,135,10,1180
Torfaen,2014,305,135,10,1360
Wrexham,2009,460,250,40,2400
Wrexham,2010,435,225,40,2365
Wrexham,2011,445,205,45,2395
Wrexham,2012,430,215,40,2385
Wrexham,2013,440,230,40,2485
Wrexham,2014,450,245,35,2655
