discipline,research_topic,value_pounds_Non_Welsh,value_pounds_Welsh,number_of_projects_Non_Welsh,number_of_projects_Welsh,number_of_projects_Welsh_proportion
Arts and Humanities,african_south_africa_indian_ship,1257167.0,0.0,13.0,0.0,0.0
Arts and Humanities,architectural_architecture_building_architect_research,9107666.0,0.0,45.0,0.0,0.0
Arts and Humanities,archive_wale_history_record_welsh,25419677.0,3612160.0,56.0,23.0,0.2911392405063291
Arts and Humanities,art_italy_aesthetic_work_project,9437787.0,799989.0,75.0,2.0,0.025974025974025976
Arts and Humanities,art_live_artwork_research_image,3484979.0,88996.0,32.0,4.0,0.1111111111111111
Arts and Humanities,art_museum_exhibition_city_project,49523886.0,294837.0,235.0,7.0,0.028925619834710745
Arts and Humanities,artist_visual_art_research_image,19973782.0,18636.0,121.0,2.0,0.016260162601626018
Arts and Humanities,ceramic_evolutionary_evolution_interpretation_sex,1423958.0,0.0,18.0,0.0,0.0
Arts and Humanities,child_young_study_research_archaeological,4760311.0,563547.0,39.0,4.0,0.09302325581395349
Arts and Humanities,china_chinese_global_british_world,2973901.0,32786.0,32.0,1.0,0.030303030303030304
Arts and Humanities,christian_theology_tibetan_christianity_tradition,1221418.0,0.0,9.0,0.0,0.0
Arts and Humanities,church_gothic_parish_epic_worship,1705384.0,1552646.0,21.0,5.0,0.19230769230769232
Arts and Humanities,community_co_project_local_bristol,7928004.0,31945.0,46.0,1.0,0.02127659574468085
Arts and Humanities,concept_latin_birmingham_psychology_tradition,1090302.0,0.0,9.0,0.0,0.0
Arts and Humanities,concrete_wittgenstein_traveller_concept_text,234784.0,0.0,8.0,0.0,0.0
Arts and Humanities,cult_communist_durham_leader_stalin,180046.0,0.0,3.0,0.0,0.0
Arts and Humanities,cultural_culture_study_national_contemporary,51954369.0,1420739.0,209.0,8.0,0.03686635944700461
Arts and Humanities,dance_metaphor_norman_anglo_project,1448358.0,873669.0,17.0,1.0,0.05555555555555555
Arts and Humanities,data_research_project_digital_social,51798613.0,22810780.0,264.0,40.0,0.13157894736842105
Arts and Humanities,death_fashion_dead_funeral_festival,184492.0,0.0,9.0,0.0,0.0
Arts and Humanities,design_product_project_process_textile,221453004.0,23079000.0,114.0,12.0,0.09523809523809523
Arts and Humanities,design_research_designer_practice_creative,47986275.0,440473.0,217.0,15.0,0.06465517241379311
Arts and Humanities,dialect_woman_english_sexuality_scott,1898439.0,0.0,16.0,0.0,0.0
Arts and Humanities,digital_technology_game_new_interactive,7081115.0,3512816.0,57.0,11.0,0.16176470588235295
Arts and Humanities,diversity_conservation_high_biological_global,81330.0,0.0,2.0,0.0,0.0
Arts and Humanities,egyptian_egypt_mathematics_jazz_mathematical,991282.0,0.0,9.0,0.0,0.0
Arts and Humanities,family_empire_imperial_father_ottoman,494476.0,215530.0,8.0,5.0,0.38461538461538464
Arts and Humanities,"film_cinema_Film History, T & C_study_cinematic",8758985.0,0.0,46.0,0.0,0.0
Arts and Humanities,french_france_de_French Studies_work,4822142.0,132497.0,41.0,1.0,0.023809523809523808
Arts and Humanities,gaelic_red_mozart_newton_sublime,405705.0,0.0,5.0,0.0,0.0
Arts and Humanities,german_chapter_holocaust_theatre_shakespeare,2211852.0,85475.0,36.0,3.0,0.07692307692307693
Arts and Humanities,greek_ancient_classical_early_Classics,8629417.0,280371.0,66.0,2.0,0.029411764705882353
Arts and Humanities,growth_house_road_cape_height,97008.0,0.0,2.0,0.0,0.0
Arts and Humanities,heritage_museum_collection_object_history,29300447.0,830728.0,193.0,10.0,0.04926108374384237
Arts and Humanities,human_time_god_equality_christ,1763812.0,0.0,20.0,0.0,0.0
Arts and Humanities,identity_social_community_cultural_life,35808266.0,436888.0,253.0,12.0,0.045283018867924525
Arts and Humanities,irish_ireland_northern_belfast_conflict,18888.0,0.0,1.0,0.0,0.0
Arts and Humanities,japanese_name_colour_japan_ink,3071414.0,0.0,4.0,0.0,0.0
Arts and Humanities,jewish_jew_comic_hebrew_dickens,1883363.0,152396.0,16.0,2.0,0.1111111111111111
Arts and Humanities,king_royal_henry_charter_william,803021.0,14013.0,4.0,1.0,0.2
Arts and Humanities,knowledge_question_belief_one_evidence,7756700.0,0.0,40.0,0.0,0.0
Arts and Humanities,labour_worker_party_class_working,303783.0,0.0,8.0,0.0,0.0
Arts and Humanities,landscape_site_island_project_settlement,7439407.0,153510.0,60.0,8.0,0.11764705882352941
Arts and Humanities,language_linguistic_word_english_corpus,50170947.0,8785760.0,93.0,11.0,0.10576923076923077
Arts and Humanities,letter_correspondence_mary_life_collection,1818422.0,41760.0,9.0,2.0,0.18181818181818182
Arts and Humanities,life_memory_testimony_individual_everyday,3655184.0,0.0,21.0,0.0,0.0
Arts and Humanities,literary_literature_book_writing_writer,8919352.0,3074970.0,107.0,18.0,0.144
Arts and Humanities,manuscript_medieval_text_latin_catholic,9220328.0,1972649.0,48.0,5.0,0.09433962264150944
Arts and Humanities,medium_television_industry_production_bbc,4210350.0,247642.0,27.0,5.0,0.15625
Arts and Humanities,mental_mind_state_rock_experience,468502.0,32498.0,6.0,2.0,0.25
Arts and Humanities,music_musical_performance_musician_composer,25212619.0,1604005.0,152.0,8.0,0.05
Arts and Humanities,muslim_islamic_islam_tradition_newspaper,1963570.0,540762.0,19.0,2.0,0.09523809523809523
Arts and Humanities,natural_study_new_century_nature,4451511.0,157798.0,42.0,2.0,0.045454545454545456
Arts and Humanities,network_research_academic_art_creative,50434031.0,576931.0,442.0,18.0,0.0391304347826087
