,group_name,event_date,number_of_events,number_of_attendants
0,BCS South Wales,2013,4,11
1,BCS South Wales,2014,2,9
2,BCS South Wales,2015,5,18
3,BCS South Wales,2016,2,14
4,BigData Wales,2014,23,28
5,BigData Wales,2015,2,7
6,CaRdiff - the Cardiff R User Group,2015,30,130
7,CaRdiff - the Cardiff R User Group,2016,5,35
8,Cardiff Graph Databases Meetup,2014,1,20
9,Cardiff Graph Databases Meetup,2015,1,22
10,Cardiff StartUp Europe Week,2016,3,8
11,Cardiff Tech Talk,2015,4,131
12,Cardiff Tech Talk,2016,1,48
13,DevOps Cardiff,2014,8,147
14,DevOps Cardiff,2015,10,179
15,Digital Insights,2014,2,102
16,JS Wales,2014,1,5
17,JS Wales,2015,2,19
18,JS Wales,2016,3,35
19,Llansadwrn Technite Meetup,2015,16,25
20,Meteor Cardiff,2014,1,13
21,Meteor Cardiff,2015,4,27
22,North Wales Technology,2015,2,30
23,North Wales Technology,2016,4,94
24,Open Data Wales Meetup,2015,2,5
25,Open Data Wales Meetup,2016,1,6
26,PyDiff,2015,2,13
27,PyDiff,2016,3,31
28,SQL Cardiff,2013,21,136
29,SQL Cardiff,2014,21,152
30,SQL Cardiff,2015,52,374
31,SQL Cardiff,2016,10,47
32,Silicon Valley Wales,2016,1,2
33,South Wales Agile Group,2013,6,66
34,South Wales Agile Group,2014,5,85
35,South Wales Agile Group,2015,11,279
36,South Wales Agile Group,2016,2,70
37,South Wales Technology Council,2015,7,8
38,South Wales Technology Council,2016,2,4
39,Swansea Software Development Community,2014,7,212
40,Swansea Software Development Community,2015,12,288
41,Swansea Software Development Community,2016,2,52
42,Swansea Tech Talk,2015,4,133
43,Test and QA Wales Meetup,2015,2,57
44,Test and QA Wales Meetup,2016,1,30
45,UX Wales,2012,2,11
46,UX Wales,2013,1,6
47,Wales and West - Windows Applications Group,2014,2,14
48,Websites 'n' Blogs,2015,5,15
49,Websites 'n' Blogs,2016,1,3
50,diff.NET,2015,5,84
51,diff.NET,2016,1,12
52,unified.diff,2013,7,132
53,unified.diff,2014,11,326
54,unified.diff,2015,8,163
