year,LAD,comparative_adv,num_attendants,num_events,Topics
2012,Cardiff,0,0,0,IT_operations
2013,Cardiff,2.5236088184464958,210,25,IT_operations
2014,Cardiff,1.9083571972837967,382,35,IT_operations
2015,Cardiff,2.0074276821177106,658,74,IT_operations
2012,Swansea,0,0,0,IT_operations
2013,Swansea,0,0,0,IT_operations
2014,Swansea,2.5455761808188533,273,30,IT_operations
2015,Swansea,1.9299035622572456,330,15,IT_operations
2012,Cardiff,0,0,0,Project Management
2013,Cardiff,1.7797661107438956,78,6,Project Management
2014,Cardiff,1.1169422580290491,88,5,Project Management
2015,Cardiff,2.6217034004044804,371,13,Project Management
2012,Cardiff,0,0,0,Data Science
2013,Cardiff,1.528283752563684,194,21,Data Science
2014,Cardiff,1.055186603922578,202,22,Data Science
2015,Cardiff,1.9989017199798127,619,92,Data Science
2012,Swansea,0,0,0,Data Science
2013,Swansea,0,0,0,Data Science
2014,Swansea,0.3315003291041162,34,23,Data Science
2015,Swansea,0.05571228291839004,9,3,Data Science
2012,Carmarthenshire,0,0,0,Coding - Wearables - IoT - Hardware
2013,Carmarthenshire,0,0,0,Coding - Wearables - IoT - Hardware
2014,Carmarthenshire,0,0,0,Coding - Wearables - IoT - Hardware
2015,Carmarthenshire,0.2040311479734844,25,16,Coding - Wearables - IoT - Hardware
2012,Cardiff,0,0,0,Coding - Wearables - IoT - Hardware
2013,Cardiff,0.10440379083158137,16,4,Coding - Wearables - IoT - Hardware
2014,Cardiff,0.16499023785390785,41,5,Coding - Wearables - IoT - Hardware
2015,Cardiff,0.1242411705289793,48,6,Coding - Wearables - IoT - Hardware
2012,Cardiff,0,0,0,"Website Development (PHP, Drupal)"
2013,Cardiff,0,0,0,"Website Development (PHP, Drupal)"
2014,Cardiff,0.8784533648564142,122,2,"Website Development (PHP, Drupal)"
2015,Cardiff,0,0,0,"Website Development (PHP, Drupal)"
2012,Pembrokeshire,0,0,0,e-Commerce
2013,Pembrokeshire,0,0,0,e-Commerce
2014,Pembrokeshire,0,0,0,e-Commerce
