,group1,group2,year,normalised_attendant_cooccurrence
0,CaRdiff - the Cardiff R User Group,CaRdiff - the Cardiff R User Group,2016,1.0
1,Cardiff Tech Talk,CaRdiff - the Cardiff R User Group,2016,0.05555555555555555
2,diff.NET,CaRdiff - the Cardiff R User Group,2016,0.05555555555555555
3,Cardiff StartUp Europe Week,CaRdiff - the Cardiff R User Group,2016,0.03333333333333333
4,South Wales Technology Council,CaRdiff - the Cardiff R User Group,2016,0.037037037037037035
5,SQL Cardiff,CaRdiff - the Cardiff R User Group,2016,0.0784313725490196
6,South Wales Agile Group,CaRdiff - the Cardiff R User Group,2016,0.037037037037037035
7,Open Data Wales Meetup,CaRdiff - the Cardiff R User Group,2016,0.06666666666666667
8,Swansea Software Development Community,CaRdiff - the Cardiff R User Group,2016,0.0
9,Silicon Valley Wales,CaRdiff - the Cardiff R User Group,2016,0.0
10,PyDiff,CaRdiff - the Cardiff R User Group,2016,0.0425531914893617
11,North Wales Technology,CaRdiff - the Cardiff R User Group,2016,0.0
12,BCS South Wales,CaRdiff - the Cardiff R User Group,2016,0.027777777777777776
13,JS Wales,CaRdiff - the Cardiff R User Group,2016,0.0
14,Websites 'n' Blogs,CaRdiff - the Cardiff R User Group,2016,0.0
15,Test and QA Wales Meetup,CaRdiff - the Cardiff R User Group,2016,0.037037037037037035
16,CaRdiff - the Cardiff R User Group,Cardiff Tech Talk,2016,0.05555555555555555
17,Cardiff Tech Talk,Cardiff Tech Talk,2016,1.0
18,diff.NET,Cardiff Tech Talk,2016,0.03333333333333333
19,Cardiff StartUp Europe Week,Cardiff Tech Talk,2016,0.037037037037037035
20,South Wales Technology Council,Cardiff Tech Talk,2016,0.0196078431372549
21,SQL Cardiff,Cardiff Tech Talk,2016,0.013333333333333334
22,South Wales Agile Group,Cardiff Tech Talk,2016,0.047619047619047616
23,Open Data Wales Meetup,Cardiff Tech Talk,2016,0.037037037037037035
24,Swansea Software Development Community,Cardiff Tech Talk,2016,0.0
25,Silicon Valley Wales,Cardiff Tech Talk,2016,0.0
