,Wales,index,year
0,0.0,selling_on_ebay,2012
1,0.0,selling_on_ebay,2013
2,0.0,selling_on_ebay,2014
3,0.0,selling_on_ebay,2015
0,0.0,business_process_automation,2012
1,0.0,business_process_automation,2013
2,0.0,business_process_automation,2014
3,0.0,business_process_automation,2015
0,0.0,finding_wholesale_items_to_sell_on_ebay,2012
1,0.0,finding_wholesale_items_to_sell_on_ebay,2013
2,0.0,finding_wholesale_items_to_sell_on_ebay,2014
3,0.0,finding_wholesale_items_to_sell_on_ebay,2015
0,0.0,alfresco,2012
1,0.0,alfresco,2013
2,0.0,alfresco,2014
3,0.0,alfresco,2015
0,0.0,work_at_home_ebay_sellers,2012
1,0.0,work_at_home_ebay_sellers,2013
2,0.0,work_at_home_ebay_sellers,2014
3,0.0,work_at_home_ebay_sellers,2015
0,0.0,business_process_improvement,2012
1,0.0,business_process_improvement,2013
2,0.0,business_process_improvement,2014
3,0.0,business_process_improvement,2015
0,0.0,google_tv,2012
1,0.0,google_tv,2013
2,0.0,google_tv,2014
3,0.0,google_tv,2015
0,0.0,strategic_organizational_change,2012
1,0.0,strategic_organizational_change,2013
2,0.0,strategic_organizational_change,2014
3,0.0,strategic_organizational_change,2015
0,0.0,enterprise_business_architecture,2012
1,0.0,enterprise_business_architecture,2013
2,0.0,enterprise_business_architecture,2014
3,0.0,enterprise_business_architecture,2015
0,0.0,bluemix,2012
1,0.0,bluemix,2013
2,0.0,bluemix,2014
3,0.0,bluemix,2015
0,0.0,organic_search_engine_optimization,2012
1,0.0,organic_search_engine_optimization,2013
2,0.0,organic_search_engine_optimization,2014
3,0.0,organic_search_engine_optimization,2015
0,0.0,togaf,2012
1,0.0,togaf,2013
2,0.0,togaf,2014
3,0.0,togaf,2015
0,0.0,ebay,2012
1,0.0,ebay,2013
2,0.0,ebay,2014
3,0.0,ebay,2015
0,0.0,customer_support,2012
1,0.0,customer_support,2013
2,0.0,customer_support,2014
3,0.0,customer_support,2015
0,0.0,computer_programming_c/c++,2012
1,0.0,computer_programming_c/c++,2013
2,0.0,computer_programming_c/c++,2014
3,0.0,computer_programming_c/c++,2015
0,0.0,statistical_modeling,2012
1,0.0,statistical_modeling,2013
2,0.0,statistical_modeling,2014
3,0.0,statistical_modeling,2015
0,0.0,business_architecture,2012
1,0.0,business_architecture,2013
2,0.0,business_architecture,2014
3,0.0,business_architecture,2015
0,0.0,",_",2012
1,0.0,",_""women",2012
2,0.0,.net,2012
3,0.0,.net_content_management_systems,2012
4,0.0,.net_developers,2012
5,0.0,.net_development,2012
6,0.0,.net_gadgeteer,2012
7,0.0,3d,2012
8,0.0,3d_animation,2012
9,0.0,3d_artists,2012
10,0.0,3d_gaming,2012
11,0.0,3d_graphics,2012
12,0.0,3d_modeling,2012
13,0.0,3d_printers,2012
14,0.0,3d_printing,2012
15,0.0,3d_projects,2012
16,0.0,3d_scanning,2012
17,0.0,3dr,2012
18,0.0,3ds_max,2012
19,0.0,3dsmax,2012
20,0.0,"_rights"",_",2012
21,0.0,a/b_testing,2012
22,0.0,a_community_where_private_equity_investors_meet,2012
23,0.0,a_“how_to”_group_to_get_product_ideas_to_market.,2012
24,0.0,academics,2012
25,0.0,accessibility,2012
26,0.0,accessible_technology,2012
27,0.0,accessible_web_design,2012
28,0.0,acid,2012
29,0.0,actionscript,2012
30,0.0,activities,2012
31,0.0,activity_monitors_and_devices,2012
32,0.0,ado.net_entity_framework,2012
33,0.0,adobe,2012
34,0.0,adobe_after_effects,2012
35,0.0,adobe_air,2012
36,0.0,adobe_creative_suite,2012
37,0.0,adobe_dreamweaver,2012
38,0.0,adobe_flash,2012
39,0.0,adobe_flex,2012
40,0.0,adobe_illustrator,2012
41,0.0,adobe_indesign,2012
42,0.0,adobe_lightroom,2012
43,0.0,adobe_photoshop,2012
44,0.0,adobe_user_group,2012
45,0.0,adult/teens_with_asperger/spectrum_disorders,2012
46,0.0,advanced_sass,2012
47,0.0,advanced_sql_server,2012
48,0.0,adventure,2012
49,0.0,adventure_games,2012
50,0.0,advertising,2012
51,0.0,advertising_agency_community,2012
52,0.0,advertising_and_pr,2012
53,0.0,aerial_cinematography,2012
54,0.0,aerial_photography,2012
55,0.0,aerial_videography,2012
56,0.0,aerospike,2012
57,0.0,affiliate_email_marketing,2012
58,0.0,affiliate_marketing,2012
59,0.0,affiliate_marketing_(ecommerce),2012
60,0.0,affiliate_marketing_joint_ventures,2012
61,0.0,affiliate_networks,2012
62,0.0,after_effects,2012
63,0.0,agile_and_scrum,2012
64,0.0,agile_business_analysts,2012
65,0.0,agile_coaching,2012
66,0.0,agile_data_warehousing_and_business_intelligence,2012
67,0.0,agile_design,2012
68,0.0,agile_leadership,2012
69,0.0,agile_mindset,2012
70,0.0,agile_planning,2012
71,0.0,agile_portfolio_management,2012
72,0.0,agile_product_development,2012
73,0.0,agile_program_management,2012
74,0.0,agile_programming_and_python,2012
75,0.0,agile_project_management,2012
76,0.0,agile_testing,2012
77,0.0,agile_transformation,2012
78,0.0,agile_ux,2012
79,0.0,agriculture,2012
80,0.0,airbnb,2012
81,0.0,ajax,2012
82,0.0,akka,2012
83,0.0,algorithmic_trading,2012
84,0.0,algorithms,2012
85,0.0,all_forms_of_javascript,2012
86,0.0,alt.net,2012
87,0.0,altcoin,2012
88,0.0,alternative_currency,2012
89,0.0,alternative_energy,2012
90,0.0,alternative_medicine,2012
91,0.0,amateur_radio,2012
92,0.0,amateur_satellite_communications,2012
93,0.0,amazon,2012
94,0.0,amazon.com,2012
95,0.0,amazon_fba,2012
96,0.0,amazon_mastermind_selling,2012
97,0.0,amazon_seller,2012
98,0.0,amazon_web_services,2012
99,0.0,analysis,2012
100,0.0,analytics,2012
101,0.0,anarcho_capitalism,2012
102,0.0,anarchy,2012
103,0.0,anatomy,2012
