,Source,Target,Weight
0,mobile_web,mobile_app,1
1,mobile_web,sencha_touch,1
2,mobile_web,mobile_advertising,1
3,sql_server_2008,sql_server_web_services_+_more_data_access_methods,1
4,aws,free_software_foundation,1
5,aws,aws_programming_and_tools,10
6,aws,uk_aws_users,4
7,aws,aws_design_implementation_and_servicing,13
8,smart_cities,design_futures,2
9,drupal,drupal_community,8
10,drupal,learning_drupal,12
11,drupal,beginner_php_programming,2
12,executive_coaching,outsourcing_your_it,2
13,spatial_data,gis,2
14,spatial_data,geospatial_technologies,2
15,spatial_data,web_mapping,2
16,drones,multi-rotor_aircraft,3
17,drones,aerial_photography,4
18,drones,drone,4
19,drones,aerial_videography,3
20,openstack,cloud_storage,3
21,redhat_-_openstack,openstack_-_quantum,2
22,industrial_design,urban_design,2
23,xml,marklogic_server,2
24,game_development,indie_games,8
25,game_development,video_games,9
26,game_development,game_programming,15
27,game_development,social_game_developers,2
28,game_development,virtual_reality,7
29,game_development,unity_3d,6
30,game_development,video_game_design,11
31,game_development,independent_game_development,18
32,game_development,game_design,19
33,game_development,gaming,4
34,game_development,mobile_games,3
35,virtual_reality,human-computer_interaction,5
36,virtual_reality,virtual_world,8
37,virtual_reality,the_future_of_video_games,7
38,virtual_reality,oculus_rift,16
39,virtual_reality,augmented_reality,15
40,system_administration,metrics,3
41,system_administration,python/linux_devop,5
42,system_administration,puppet,10
43,system_administration,windows_powershell,2
44,system_administration,operations_and_data_center_management,8
45,corona_sdk,lua_programming,3
46,artificial_intelligence_programming,artificial_intelligence_machine_learning_robotics,4
47,php_application_development,yii_framework,2
48,independent_game_development,unreal_engine,2
49,independent_game_development,games,3
50,independent_game_development,video_game_development,13
51,independent_game_development,game_production,6
52,drupal_users,drupal_theming,7
53,drupal_users,drupal_developers,8
54,drupal_users,drupal_modules,7
55,d3,d3.js,2
56,microsoft_technology,microsoft,6
57,project_management,project_management_practices,3
58,project_management,project_management_professional,2
59,project_management,project_management_methods,3
60,project_management,pmp,2
61,android_sdk,android_development_training,2
62,lisp_&_scheme,emacs_lisp,2
63,professional_networking,fundraising,2
64,professional_networking,professional_development,12
65,professional_networking,professional_engineer,2
66,new_media,introduction_to_functional_programming_in_r,1
67,new_media,advertising_agency_community,1
68,new_media,online_advertising,1
69,new_media,news_broadcasting,1
70,new_media,interactive_marketing,1
71,new_media,video,1
72,new_media,interactive,1
73,new_media,digital_storytelling,2
74,database_development,database_professionals,18
75,database_development,postgresql,3
76,wordpress_websites,wordpress_theme_development,4
77,wordpress,blogging,17
78,wordpress,wordpress_developers,13
79,wordpress,wordpress_training,9
80,wordpress,wordpress_websites,13
81,wordpress,programming_with_html_css_php_mysql,2
82,wordpress,wordpress_for_business,14
83,wordpress,wordpress_themes,22
84,internet_&_social_media,using_twitter_for_business,1
85,newsql,kdb+,2
86,business_analysis,strategic_organizational_change,1
87,geeks_&_nerds,geek_culture,3
88,computer_security,white_hat_hacking,6
89,computer_security,cybersecurity,11
90,computer_security,network_security,9
91,future_of_journalism,reporters_and_journalists,1
92,computer_graphics,webgl,3
93,windows,powershell,1
94,programming_languages,clojurescript,4
95,programming_languages,golang,3
96,programming_languages,functional_programming,30
97,programming_languages,go_programming_language,4
98,programming_languages,programmers,2
99,programming_languages,c/c++,5
100,programming_languages,f#_programming,4
101,programming_languages,object_oriented_programming,6
102,programming_languages,python,14
103,programming_languages,functional_programming_in_python,4
104,programming_languages,web_programming,5
105,programming_languages,pair_programming,5
106,social_media,youtube,3
107,social_media,twitter,10
108,social_media,travel_blogging,2
109,social_media,social_media_for_business,6
110,social_media,blogging_to_promote_yourself,2
111,social_media,online_marketing,33
112,social_media,facebook,6
113,social_media,how_to_market_your_business_through_blogging,4
114,social_media,digital_media,17
115,social_media,facebook_marketing,4
116,collaboration_between_creative_minds,creative_circle,2
117,enterprise_content_management_ecm,introduction_to_alfresco_cms,1
118,enterprise_content_management_ecm,records_management,1
119,enterprise_content_management_ecm,government,1
120,theater,performing_arts,2
121,scala_lift,lift,1
122,opengl,opencl,2
123,opengl,embedded_systems_programming,1
124,unity_3d_developers,unity_3d_artists,2
125,unity_3d_developers,unity_game_engine,3
126,lean_project_management,project_management,6
127,lean_project_management,project_management_tools,5
128,repair,restarters,2
129,lean_ux,ux_strategy,2
130,small_business_owners,coffee,2
131,digital_media,new_media,10
132,digital_media,digital_video,4
133,digital_media,media,6
134,digital_media,digital_photography,2
135,digital_media,future_of_news,2
136,digital_media,community_organizations,2
137,digital_media,journalism,5
138,digital_media,digital_&_social_media,3
139,digital_media,film_and_video_production,4
140,digital_media,digital_publishing,5
141,automation,culture,1
142,vr_glasses,social_augmented_reality,2
143,vr_glasses,google_cardboard,3
144,online_marketing,marketing,15
145,online_marketing,marketing_strategy,5
146,online_marketing,social_media_marketing,27
