,tags,count
0,mobile_web,12
1,sql_server_2008,2
2,aws,27
3,smart_cities,10
4,digital_health,6
5,gpgpu,3
6,wordpress_training,12
7,drupal,29
8,executive_coaching,3
9,future_of_journalism,3
10,spatial_data,5
11,drones,5
12,game_development,38
13,life_sciences,5
14,help_for_business_startups,2
15,learn_to_code,6
16,tableau,2
17,data_architecture,2
18,drupal_mastering,4
19,openstack,23
20,database_development,37
21,adobe_creative_suite,3
22,text_analytics,13
23,distributed_programming_in_java,3
24,gis,2
25,fault-tolerance,2
26,redhat_-_openstack,2
27,creative_coding,4
28,data_analysis_and_modeling,12
29,career_network,3
30,industrial_design,6
31,seo_for_local_business,2
32,data_warehouse,2
33,xml,6
34,data_journalism,3
35,embedded_systems,12
36,sensors,14
37,data_warehousing,16
38,apache_storm,2
39,image_processing,5
40,product_management,25
41,cryptoequity,2
42,connected_objects,2
43,knitting,2
44,creative_thinking,3
45,digital_project_management,2
46,corona_sdk,4
47,symfony2,7
48,unix,5
49,mobile_security,4
50,artificial_intelligence_programming,8
51,board_games,2
52,php_application_development,22
53,independent_game_development,26
54,magento_enterprise,6
55,sql_server,17
56,drupal_users,9
57,apache_pig,3
58,d3,1
59,customer_experience,5
60,it_kanban,2
61,visualforce_development,5
62,microsoft_technology,11
63,c_sharp,3
64,project_management,13
65,iot_hacking,21
66,oracle_application_business_solutions,2
67,android_sdk,2
68,wordpress_small_business_web_sites,11
69,netsquared,4
70,ux_/_ui_design,7
71,apache_hive,3
72,social_innovation,6
73,experience_design,2
74,ethical_hacker,13
75,new_media,19
76,ipad,6
77,wordpress_websites,15
78,aws_s3,6
79,women_who_code,2
80,social_media_management,4
81,ui/ux,4
82,joomla,3
83,smart_contracts,5
84,drupal_8,2
85,furniture_design,3
86,knowledge_sharing,9
87,wordpress,40
88,puppet,9
89,coding_dojos,5
90,online_retailers,7
91,gambling,2
92,selling_on_ebay,2
93,newsql,2
94,rc_planes:_remote_controlled,2
95,internet_censorship,3
96,amazon.com,3
97,business_analysis,3
98,project_management_practices,5
99,youtube,5
100,computer_security,27
101,electronic_privacy,7
102,reporting,2
103,after_effects,1
104,swift_language,8
105,zend_framework,3
