,Source,Target
0,asp.net_mvc,asp.net_mvc
1,java,asp.net_mvc
2,microsoft_windows,asp.net_mvc
3,c#.net,asp.net_mvc
4,coders,asp.net_mvc
5,website_development,asp.net_mvc
6,xaml,asp.net_mvc
7,microsoft,asp.net_mvc
9,.net_development,asp.net_mvc
10,asp.net,asp.net_mvc
11,windows_azure_platform,asp.net_mvc
12,.net,asp.net_mvc
13,javascript,asp.net_mvc
14,.net_content_management_systems,asp.net_mvc
15,f#_programming,asp.net_mvc
16,microsoft_technology,asp.net_mvc
17,web_design,asp.net_mvc
18,lean_startup,asp.net_mvc
19,c#,asp.net_mvc
20,system_administration,asp.net_mvc
21,microsoft_.net_user_group,asp.net_mvc
22,web_application_development,asp.net_mvc
23,mobile_development,asp.net_mvc
24,cloud_computing,asp.net_mvc
25,swift_language,asp.net_mvc
26,c_sharp,asp.net_mvc
27,php,asp.net_mvc
28,sql_server,asp.net_mvc
29,.net_developers,asp.net_mvc
30,devops,asp.net_mvc
31,asp.net_mvc,swift_language
32,learn_coding,swift_language
33,ios_game_development,swift_language
34,swift,swift_language
35,ux_design,swift_language
36,ios_platform,swift_language
37,mobile_user_experience,swift_language
38,java,swift_language
39,hacking,swift_language
40,ruby_on_rails,swift_language
41,cocoa_programming_language,swift_language
42,c#.net,swift_language
43,iphone,swift_language
44,coders,swift_language
45,ios_development,swift_language
46,programming_languages,swift_language
47,android_game_development,swift_language
48,objective_c,swift_language
49,.net_development,swift_language
50,ios,swift_language
51,software_engineering,swift_language
52,asp.net,swift_language
53,os_x_development,swift_language
54,windows_azure_platform,swift_language
55,developing_mobile_apps,swift_language
56,basics_of_iphone_app_development,swift_language
57,mobile_app_development,swift_language
58,cocoa_touch,swift_language
59,.net,swift_language
60,entrepreneurship,swift_language
61,xcode_users,swift_language
62,.net_content_management_systems,swift_language
63,android,swift_language
64,iphone_ipad_ios_developers,swift_language
65,web_design,swift_language
66,c#,swift_language
67,microsoft_.net_user_group,swift_language
68,usability,swift_language
69,apple,swift_language
70,mobile_development,swift_language
71,ui_design,swift_language
72,live_coding,swift_language
73,android_development,swift_language
74,beginner_ios_developers,swift_language
75,swift_language,swift_language
76,sql_server,swift_language
77,.net_developers,swift_language
78,asp.net_mvc,asp.net
79,sql,asp.net
80,java,asp.net
81,microsoft_windows,asp.net
82,c#.net,asp.net
83,website_development,asp.net
84,xaml,asp.net
85,programming_languages,asp.net
86,windows,asp.net
87,html5,asp.net
88,microsoft,asp.net
90,.net_development,asp.net
91,software_engineering,asp.net
92,asp.net,asp.net
93,windows_azure_platform,asp.net
94,mysql,asp.net
95,xml,asp.net
96,new_product_development:_software_&_tech,asp.net
97,cms_(content_management_systems),asp.net
98,.net,asp.net
99,javascript,asp.net
100,.net_content_management_systems,asp.net
101,microsoft_technology,asp.net
102,web_design,asp.net
103,lean_startup,asp.net
104,computer_science,asp.net
105,freelance,asp.net
106,c#,asp.net
107,system_administration,asp.net
108,microsoft_.net_user_group,asp.net
110,knowledge_sharing,asp.net
111,web_application_development,asp.net
112,mobile_development,asp.net
113,cloud_computing,asp.net
114,swift_language,asp.net
116,php,asp.net
117,sql_server,asp.net
118,database_development,asp.net
119,.net_developers,asp.net
120,devops,asp.net
121,asp.net_mvc,f#_programming
122,technology,f#_programming
123,pair_programming,f#_programming
124,haskell,f#_programming
125,erlang_programming,f#_programming
126,clojure,f#_programming
127,lisp_&_scheme,f#_programming
128,programming_languages,f#_programming
129,elixir_programming,f#_programming
130,ocaml_programming,f#_programming
131,jvm_languages,f#_programming
132,.net_development,f#_programming
133,scala,f#_programming
134,software_engineering,f#_programming
135,scala_programming,f#_programming
136,c/c++,f#_programming
137,parallel_programming,f#_programming
138,.net,f#_programming
139,f#_programming,f#_programming
140,lean_startup,f#_programming
141,c#,f#_programming
142,functional_programming_in_python,f#_programming
143,technology_startups,f#_programming
144,functional_programming,f#_programming
145,c_sharp,f#_programming
146,fsharp,f#_programming
147,asp.net_mvc,javascript
148,customer_relationship_management,javascript
150,jquery,javascript
151,learn_coding,javascript
152,coworking,javascript
153,gis,javascript
154,small_business,javascript
155,hackathons,javascript
156,d3.js,javascript
157,clojurescript,javascript
158,ux_design,javascript
159,online_marketing,javascript
160,mobile_web,javascript
161,gdg,javascript
162,website_design,javascript
163,learn_to_code,javascript
164,mobile_user_experience,javascript
165,meteor,javascript
167,nosql,javascript
168,sql,javascript
170,java,javascript
171,go_programming_language,javascript
172,technology,javascript
173,software_development_technologies,javascript
174,pair_programming,javascript
175,server_side_javascript,javascript
176,hacking,javascript
177,ruby_on_rails,javascript
178,social_coding,javascript
179,interaction_design,javascript
180,salesforce.com_developers,javascript
181,continuous_delivery,javascript
182,magento_enterprise,javascript
183,haskell,javascript
184,nodejs,javascript
185,women_entrepreneurs,javascript
186,video_games,javascript
187,makers,javascript
188,unity_3d_developers,javascript
189,zend_framework,javascript
190,ruby,javascript
191,bristol,javascript
192,erlang_programming,javascript
194,digital_marketing,javascript
196,docker,javascript
197,learning_to_code,javascript
198,independent_game_development,javascript
199,digital_publishing,javascript
200,social_entrepreneurship,javascript
201,c#.net,javascript
202,content_strategy,javascript
203,android_enthusiasts,javascript
204,clojure,javascript
205,database_professionals,javascript
206,wordpress,javascript
207,accessibility,javascript
208,graph_databases,javascript
210,wwc,javascript
211,front-end_development,javascript
212,mongodb,javascript
213,live_music,javascript
214,m2m,javascript
216,lisp_&_scheme,javascript
217,venture_capital,javascript
218,coders,javascript
219,ios_development,javascript
220,web_performance,javascript
221,3d_printing,javascript
223,raspberry_pi,javascript
224,programming_languages,javascript
225,networking_for_job_seekers,javascript
226,google_apps_script,javascript
227,job_search,javascript
228,magento,javascript
229,e-commerce,javascript
230,android_game_development,javascript
231,crm,javascript
232,elixir_programming,javascript
233,microservices,javascript
234,google_cloud_platform,javascript
235,html5,javascript
236,unix,javascript
237,javascript_frameworks,javascript
238,objective_c,javascript
239,microsoft,javascript
240,copywriting,javascript
241,user_group,javascript
242,c_/_c_+_+,javascript
243,magento_meetups,javascript
244,emerging_technologies,javascript
245,jvm_languages,javascript
247,women_who_code,javascript
248,career_network,javascript
249,.net_development,javascript
250,apple_mobile_device_application_development,javascript
251,joomla,javascript
252,ios,javascript
253,google_web_toolkit_(gwt),javascript
254,scala,javascript
255,coffeescript,javascript
256,software_engineering,javascript
257,game_development,javascript
258,google_chrome,javascript
259,salesforce.com,javascript
260,asp.net,javascript
261,python,javascript
262,windows_azure_platform,javascript
263,scala_programming,javascript
264,mysql,javascript
265,machine_learning,javascript
266,photography,javascript
267,json,javascript
268,xml,javascript
269,google_technology_user_group,javascript
270,copywriting_for_small_business_owners,javascript
271,marketing,javascript
272,new_product_development:_software_&_tech,javascript
273,london,javascript
274,cms_(content_management_systems),javascript
275,rich_internet_applications,javascript
276,using_mongodb_in_the_cloud,javascript
