organisation_x,organisation_y,collab_n,similarity_color_rgba
Cardiff University,Cardiff University,4,"(1, 0, 0, 0.9)"
Swansea University,Cardiff University,2,"(1, 0, 0, 0.9)"
Welsh Government,Cardiff University,2,"(1, 0, 0, 0.9)"
G-24i,Cardiff University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Morriston Hospital,Cardiff University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
BIPVCo,Cardiff University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Cogent Power Ltd,Cardiff University,1,"(1, 0, 0, 0.9)"
Swansea NHS Trust,Cardiff University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Sony United Kingdom Ltd,Cardiff University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Iqe (Europe) Ltd,Cardiff University,2,"(1, 0, 0, 0.9)"
HAEMAIR LTD,Cardiff University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Cardiff Council,Cardiff University,1,"(1, 0, 0, 0.9)"
SPTS Technologies,Cardiff University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Science Made Simple,Cardiff University,3,"(1, 0, 0, 0.9)"
Haemometrics Ltd,Cardiff University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Tidal Energy Limited,Cardiff University,2,"(1, 0, 0, 0.9)"
Fusion,Cardiff University,3,"(1, 0, 0, 0.9)"
Neath Port Talbot County,Cardiff University,1,"(1, 0, 0, 0.9)"
Abertawe Bro Morgannwg NHS Trust,Cardiff University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Boots Centre for Innovation BCI,Cardiff University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Mabey Bridge Ltd,Cardiff University,1,"(1, 0, 0, 0.9)"
Bangor University,Cardiff University,1,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0.7)"
Power Units M & E Engineering Ltd,Cardiff University,1,"(1, 0, 0, 0.9)"
IQE Silicon Compounds Ltd,Cardiff University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
International Rectifier,Cardiff University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Dow Corning Ltd,Cardiff University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Wiltan Limited,Cardiff University,1,"(1, 0, 0, 0.9)"
INEXUS,Cardiff University,1,"(1, 0, 0, 0.9)"
Aberystwyth University,Cardiff University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Kennametal Sintec Keramik UK Ltd,Cardiff University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
S&C Electric Europe Limited,Cardiff University,1,"(1, 0, 0, 0.9)"
University of Glamorgan,Cardiff University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Nuaire International Ltd,Cardiff University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
OpTIC Glyndwr Ltd,Cardiff University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
QMC Instruments Ltd,Cardiff University,1,"(1, 0, 0, 0.9)"
Qioptiq Ltd,Cardiff University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
Utility Partnership Ltd,Cardiff University,0,"(0.6274509803921569, 0.6274509803921569, 0.6274509803921569, 0)"
