,year,LAD,comparative_adv,num_attendants,num_events,Topics,broad_topic
0,2012,Cardiff,0.0,0,0,IT_operations,Information Technology
1,2013,Cardiff,2.523608818446496,210,25,IT_operations,Information Technology
2,2014,Cardiff,1.9083571972837967,382,35,IT_operations,Information Technology
3,2015,Cardiff,2.0074276821177106,658,74,IT_operations,Information Technology
4,2012,Swansea,0.0,0,0,IT_operations,Information Technology
5,2013,Swansea,0.0,0,0,IT_operations,Information Technology
6,2014,Swansea,2.5455761808188533,273,30,IT_operations,Information Technology
7,2015,Swansea,1.9299035622572456,330,15,IT_operations,Information Technology
8,2012,Cardiff,0.0,0,0,Project Management,Business
9,2013,Cardiff,1.7797661107438956,78,6,Project Management,Business
10,2014,Cardiff,1.1169422580290491,88,5,Project Management,Business
11,2015,Cardiff,2.6217034004044804,371,13,Project Management,Business
12,2012,Cardiff,0.0,0,0,Data Science,Information Technology
13,2013,Cardiff,1.528283752563684,194,21,Data Science,Information Technology
14,2014,Cardiff,1.055186603922578,202,22,Data Science,Information Technology
15,2015,Cardiff,1.9989017199798127,619,92,Data Science,Information Technology
16,2012,Swansea,0.0,0,0,Data Science,Information Technology
17,2013,Swansea,0.0,0,0,Data Science,Information Technology
18,2014,Swansea,0.3315003291041162,34,23,Data Science,Information Technology
19,2015,Swansea,0.05571228291839004,9,3,Data Science,Information Technology
20,2012,Carmarthenshire,0.0,0,0,Coding - Wearables - IoT - Hardware,Programming
21,2013,Carmarthenshire,0.0,0,0,Coding - Wearables - IoT - Hardware,Programming
22,2014,Carmarthenshire,0.0,0,0,Coding - Wearables - IoT - Hardware,Programming
23,2015,Carmarthenshire,0.2040311479734844,25,16,Coding - Wearables - IoT - Hardware,Programming
24,2012,Cardiff,0.0,0,0,Coding - Wearables - IoT - Hardware,Programming
25,2013,Cardiff,0.10440379083158136,16,4,Coding - Wearables - IoT - Hardware,Programming
26,2014,Cardiff,0.16499023785390785,41,5,Coding - Wearables - IoT - Hardware,Programming
27,2015,Cardiff,0.1242411705289793,48,6,Coding - Wearables - IoT - Hardware,Programming
28,2012,Cardiff,0.0,0,0,"Website Development (PHP, Drupal)",Programming
29,2013,Cardiff,0.0,0,0,"Website Development (PHP, Drupal)",Programming
30,2014,Cardiff,0.8784533648564142,122,2,"Website Development (PHP, Drupal)",Programming
31,2015,Cardiff,0.0,0,0,"Website Development (PHP, Drupal)",Programming
32,2012,Pembrokeshire,0.0,0,0,e-Commerce,Business
33,2013,Pembrokeshire,0.0,0,0,e-Commerce,Business
34,2014,Pembrokeshire,0.0,0,0,e-Commerce,Business
35,2015,Pembrokeshire,2.6856848416249237,21,5,e-Commerce,Business
36,2012,Pembrokeshire,0.0,0,0,"Website Development (ruby, java)",Programming
37,2013,Pembrokeshire,0.0,0,0,"Website Development (ruby, java)",Programming
38,2014,Pembrokeshire,0.0,0,0,"Website Development (ruby, java)",Programming
39,2015,Pembrokeshire,0.09633530730655636,21,5,"Website Development (ruby, java)",Programming
40,2012,Cardiff,0.03585252875253686,14,2,"Website Development (ruby, java)",Programming
41,2013,Cardiff,0.3349964421443048,185,12,"Website Development (ruby, java)",Programming
42,2014,Cardiff,0.6869418337313226,536,19,"Website Development (ruby, java)",Programming
43,2015,Cardiff,0.4440082964808935,453,29,"Website Development (ruby, java)",Programming
44,2012,Swansea,0.0,0,0,"Website Development (ruby, java)",Programming
45,2013,Swansea,0.0,0,0,"Website Development (ruby, java)",Programming
46,2014,Swansea,0.5908527700352896,247,8,"Website Development (ruby, java)",Programming
47,2015,Swansea,0.9601109792816322,511,18,"Website Development (ruby, java)",Programming
48,2012,Gwynedd,0.0,0,0,"Website Development (ruby, java)",Programming
49,2013,Gwynedd,0.0,0,0,"Website Development (ruby, java)",Programming
50,2014,Gwynedd,0.0,0,0,"Website Development (ruby, java)",Programming
51,2015,Gwynedd,0.17497473462961266,46,2,"Website Development (ruby, java)",Programming
52,2012,Cardiff,0.0,0,0,Databases,Information Technology
53,2013,Cardiff,1.6048393357280557,210,25,Databases,Information Technology
54,2014,Cardiff,1.1752611967949405,215,26,Databases,Information Technology
55,2015,Cardiff,2.108886887389159,484,60,Databases,Information Technology
56,2012,Swansea,0.0,0,0,Databases,Information Technology
57,2013,Swansea,0.0,0,0,Databases,Information Technology
58,2014,Swansea,0.34689816444919264,34,23,Databases,Information Technology
59,2015,Swansea,0.07517234305776861,9,3,Databases,Information Technology
60,2012,Carmarthenshire,0.0,0,0,Mobile development,Programming
61,2013,Carmarthenshire,0.0,0,0,Mobile development,Programming
62,2014,Carmarthenshire,0.0,0,0,Mobile development,Programming
63,2015,Carmarthenshire,0.20606377050655847,25,16,Mobile development,Programming
64,2012,Cardiff,0.0,0,0,Mobile development,Programming
65,2013,Cardiff,0.0,0,0,Mobile development,Programming
66,2014,Cardiff,0.07326998740759888,19,2,Mobile development,Programming
67,2015,Cardiff,0.27709923791020835,106,12,Mobile development,Programming
68,2012,Gwynedd,0.0,0,0,Mobile development,Programming
69,2013,Gwynedd,0.0,0,0,Mobile development,Programming
70,2014,Gwynedd,0.0,0,0,Mobile development,Programming
71,2015,Gwynedd,0.466672195764786,46,2,Mobile development,Programming
72,2012,Cardiff,0.26205596318436924,14,2,Design (UI/UX),Design
73,2013,Cardiff,1.1890993497335438,169,8,Design (UI/UX),Design
74,2014,Cardiff,2.6476048960645864,523,15,Design (UI/UX),Design
75,2015,Cardiff,0.918498686711714,325,12,Design (UI/UX),Design
