,tag_name,topic_name,broad_topics,tag_count
0,marketing_analytics,Cloud - Mixed_21,Information Technology,2
1,jboss_enterprise_middleware,Cloud - Mixed_21,Information Technology,4
2,azure,Cloud - Mixed_21,Information Technology,7
3,microsoft_biztalk,Cloud - Mixed_21,Information Technology,2
4,solution_architecture,Cloud - Mixed_21,Information Technology,3
5,business_analysis_tools_and_techniques,Cloud - Mixed_21,Information Technology,3
6,technical_architecture,Cloud - Mixed_21,Information Technology,2
7,sharepoint,Cloud - Mixed_21,Information Technology,7
8,business_architecture,Cloud - Mixed_21,Information Technology,2
9,mule_esb,Cloud - Mixed_21,Information Technology,2
10,togaf,Cloud - Mixed_21,Information Technology,2
11,application_programming_interface,Cloud - Mixed_21,Information Technology,6
12,system_integration,Cloud - Mixed_21,Information Technology,2
13,strategic_organizational_change,Cloud - Mixed_21,Information Technology,2
14,service-oriented_architecture,Cloud - Mixed_21,Information Technology,2
15,microsoft_sharepoint_technology,Cloud - Mixed_21,Information Technology,5
16,metrics,Cloud - Mixed_21,Information Technology,4
17,knowledge_sharing,Cloud - Mixed_21,Information Technology,9
18,enterprise_application_integration,Cloud - Mixed_21,Information Technology,4
19,service_oriented_architectures,Cloud - Mixed_21,Information Technology,3
20,business_analysts,Cloud - Mixed_21,Information Technology,5
21,web_api_design,Cloud - Mixed_21,Information Technology,6
22,enterprise_technology,Cloud - Mixed_21,Information Technology,2
23,marketing_measurement,Cloud - Mixed_21,Information Technology,2
24,web_services,Cloud - Mixed_21,Information Technology,8
25,messaging_systems,Cloud - Mixed_21,Information Technology,3
26,business_analysis,Cloud - Mixed_21,Information Technology,3
27,automation,Cloud - Mixed_21,Information Technology,10
28,stream_processing,Databases,Information Technology,3
29,supercomputing,Databases,Information Technology,2
30,mapreduce,Databases,Information Technology,33
31,high_scalability_computing,Databases,Information Technology,45
32,enterprise_search,Databases,Information Technology,14
33,real_time_analytics,Databases,Information Technology,8
34,cloud_networking,Databases,Information Technology,2
35,postgres,Databases,Information Technology,2
36,nosql,Databases,Information Technology,87
37,advanced_sql_server,Databases,Information Technology,7
38,xml,Databases,Information Technology,6
39,mongodb,Databases,Information Technology,26
40,sql_server,Databases,Information Technology,17
41,database_professionals,Databases,Information Technology,28
42,data_science_using_python,Databases,Information Technology,5
43,parallel_programming,Databases,Information Technology,6
44,sql,Databases,Information Technology,25
