,Topics,Cwm,Bangor,Llansadwrn,Swansea,Roch,Cardiff
0,Data Science,0.0,0.0,0.0,0.10429376831680504,0.0,0.5127288794772159
1,Data cloud,0.0,0.0,0.0,0.0,0.0,0.6171108369896566
2,Data management,0.0,0.0,0.0,0.0,0.0,1.4481182419548226
3,Digital,0.0,0.0,0.0,0.0,0.0,0.09085797261529767
4,Functional programming,0.0,0.0,0.0,0.0,0.0,0.0
5,Game Development,0.0,0.0,0.0,0.0,0.0,0.0
6,Marketing,0.0,0.0,0.0,0.0,0.3108296479099817,0.12951235329582572
7,Mobile development,0.0,0.0,0.1220124828096768,0.0,0.0,0.08022738595704776
8,Project Management,0.0,0.0,0.0,0.6658467628376132,0.0,1.107981221400221
9,Security & DIY,0.0,0.0,0.15045552106919252,0.0,0.0,0.0
10,Startups & Mobile tech,0.044181427582162855,0.0,0.0,0.0,0.0,0.044181427582162855
11,User design,0.0,0.0,0.0,0.8957499129365143,0.0,0.1806554446258516
12,Web ,0.0390280600301031,0.3382431869275602,0.059355174629115125,0.5789162237798626,0.0,0.6069728242238475
13,Web Development - Generic,0.0,0.0,0.0,0.8382108375317991,0.13562062989278548,0.8199397248934657
14,Web dev - Technical,0.054548085210720215,0.4727500718262418,0.0,0.578815793069309,0.0,0.29546879489140115
