,source_node,target_node,Unnamed: 0_x,urlkey_x,id_x,Source,merge_key_x,Unnamed: 0_y,urlkey_y,id_y,Target,merge_key_y
0,917262,10553,7659,open-source-python,917262,Open source python,917262,1163,django,10553,Django,10553
1,130436,10553,7655,getting-started-with-python,130436,Getting started with Python,130436,1163,django,10553,Django,10553
2,150645,10553,8874,agile-programming-and-python,150645,Agile programming and Python,150645,1163,django,10553,Django,10553
3,3833,10553,10,softwaredev,3833,Software Development,3833,1163,django,10553,Django,10553
4,1481522,10553,10339,data-science-using-python,1481522,Data Science using Python,1481522,1163,django,10553,Django,10553
5,917242,10553,4424,python-web-development,917242,Python Web Development,917242,1163,django,10553,Django,10553
6,17629,10553,18051,stackless-python,17629,Stackless Python,17629,1163,django,10553,Django,10553
7,48471,10553,32,computer-programming,48471,Computer programming,48471,1163,django,10553,Django,10553
8,1064,10553,277,python,1064,Python,1064,1163,django,10553,Django,10553
9,17628,10553,88,programming-languages,17628,Programming Languages,17628,1163,django,10553,Django,10553
10,10553,10553,1163,django,10553,Django,10553,1163,django,10553,Django,10553
11,917262,917262,7659,open-source-python,917262,Open source python,917262,7659,open-source-python,917262,Open source python,917262
12,130436,917262,7655,getting-started-with-python,130436,Getting started with Python,130436,7659,open-source-python,917262,Open source python,917262
13,150645,917262,8874,agile-programming-and-python,150645,Agile programming and Python,150645,7659,open-source-python,917262,Open source python,917262
14,3833,917262,10,softwaredev,3833,Software Development,3833,7659,open-source-python,917262,Open source python,917262
15,1481522,917262,10339,data-science-using-python,1481522,Data Science using Python,1481522,7659,open-source-python,917262,Open source python,917262
16,917242,917262,4424,python-web-development,917242,Python Web Development,917242,7659,open-source-python,917262,Open source python,917262
17,17629,917262,18051,stackless-python,17629,Stackless Python,17629,7659,open-source-python,917262,Open source python,917262
18,48471,917262,32,computer-programming,48471,Computer programming,48471,7659,open-source-python,917262,Open source python,917262
19,1064,917262,277,python,1064,Python,1064,7659,open-source-python,917262,Open source python,917262
20,17628,917262,88,programming-languages,17628,Programming Languages,17628,7659,open-source-python,917262,Open source python,917262
21,10553,917262,1163,django,10553,Django,10553,7659,open-source-python,917262,Open source python,917262
22,917262,150645,7659,open-source-python,917262,Open source python,917262,8874,agile-programming-and-python,150645,Agile programming and Python,150645
23,130436,150645,7655,getting-started-with-python,130436,Getting started with Python,130436,8874,agile-programming-and-python,150645,Agile programming and Python,150645
24,150645,150645,8874,agile-programming-and-python,150645,Agile programming and Python,150645,8874,agile-programming-and-python,150645,Agile programming and Python,150645
25,3833,150645,10,softwaredev,3833,Software Development,3833,8874,agile-programming-and-python,150645,Agile programming and Python,150645
26,1481522,150645,10339,data-science-using-python,1481522,Data Science using Python,1481522,8874,agile-programming-and-python,150645,Agile programming and Python,150645
27,917242,150645,4424,python-web-development,917242,Python Web Development,917242,8874,agile-programming-and-python,150645,Agile programming and Python,150645
28,17629,150645,18051,stackless-python,17629,Stackless Python,17629,8874,agile-programming-and-python,150645,Agile programming and Python,150645
29,48471,150645,32,computer-programming,48471,Computer programming,48471,8874,agile-programming-and-python,150645,Agile programming and Python,150645
30,1064,150645,277,python,1064,Python,1064,8874,agile-programming-and-python,150645,Agile programming and Python,150645
31,17628,150645,88,programming-languages,17628,Programming Languages,17628,8874,agile-programming-and-python,150645,Agile programming and Python,150645
32,10553,150645,1163,django,10553,Django,10553,8874,agile-programming-and-python,150645,Agile programming and Python,150645
33,917262,3833,7659,open-source-python,917262,Open source python,917262,10,softwaredev,3833,Software Development,3833
34,71692,3833,214,software-craftsmanship,71692,Software Craftsmanship,71692,10,softwaredev,3833,Software Development,3833
35,19243,3833,15,user-experience,19243,User Experience,19243,10,softwaredev,3833,Software Development,3833
36,130436,3833,7655,getting-started-with-python,130436,Getting started with Python,130436,10,softwaredev,3833,Software Development,3833
37,150645,3833,8874,agile-programming-and-python,150645,Agile programming and Python,150645,10,softwaredev,3833,Software Development,3833
38,10102,3833,11,internetpro,10102,Internet Professionals,10102,10,softwaredev,3833,Software Development,3833
39,2260,3833,261,csharp,2260,C#,2260,10,softwaredev,3833,Software Development,3833
40,15582,3833,3,web-development,15582,Web Development,15582,10,softwaredev,3833,Software Development,3833
41,66339,3833,1863,windows-azure-platform,66339,Windows Azure Platform,66339,10,softwaredev,3833,Software Development,3833
42,16137,3833,263,jquery,16137,JQuery,16137,10,softwaredev,3833,Software Development,3833
43,1215292,3833,1965,windows-phone-8-development,1215292,Windows Phone 8 Development,1215292,10,softwaredev,3833,Software Development,3833
44,450862,3833,1961,windows-8-metro-app-development,450862,Windows 8 Metro App Development,450862,10,softwaredev,3833,Software Development,3833
45,3833,3833,10,softwaredev,3833,Software Development,3833,10,softwaredev,3833,Software Development,3833
46,88244,3833,4740,social-networking-for-software-developers,88244,Social Networking for Software Developers,88244,10,softwaredev,3833,Software Development,3833
47,78565,3833,68,html5,78565,HTML5,78565,10,softwaredev,3833,Software Development,3833
48,21123,3833,792,hacking,21123,Hacking,21123,10,softwaredev,3833,Software Development,3833
49,921432,3833,2328,meteor,921432,Meteor,921432,10,softwaredev,3833,Software Development,3833
50,166904,3833,331,software-testing,166904,Software Testing,166904,10,softwaredev,3833,Software Development,3833
51,70576,3833,381,quality-assurance,70576,Quality Assurance,70576,10,softwaredev,3833,Software Development,3833
52,51642,3833,1956,windows-phone,51642,Windows Phone,51642,10,softwaredev,3833,Software Development,3833
53,1481522,3833,10339,data-science-using-python,1481522,Data Science using Python,1481522,10,softwaredev,3833,Software Development,3833
54,30996,3833,212,agile-testing,30996,Agile Testing,30996,10,softwaredev,3833,Software Development,3833
55,65173,3833,380,software-quality,65173,Software Quality,65173,10,softwaredev,3833,Software Development,3833
56,133497,3833,1447,windows-phone-developers,133497,Windows Phone Developers,133497,10,softwaredev,3833,Software Development,3833
57,257541,3833,4515,dev-ops,257541,Dev Ops,257541,10,softwaredev,3833,Software Development,3833
58,122939,3833,904,agile-coaching,122939,Agile Coaching,122939,10,softwaredev,3833,Software Development,3833
59,99537,3833,2413,microsoft-technology,99537,Microsoft Technology,99537,10,softwaredev,3833,Software Development,3833
60,105100,3833,1957,xaml,105100,XAML,105100,10,softwaredev,3833,Software Development,3833
61,7203,3833,22,edtech,7203,Education & Technology,7203,10,softwaredev,3833,Software Development,3833
62,20346,3833,75,android-developers,20346,Android Development,20346,10,softwaredev,3833,Software Development,3833
63,15585,3833,14,online-marketing,15585,Online Marketing,15585,10,softwaredev,3833,Software Development,3833
64,17742,3833,351,social-media-marketing,17742,Social Media Marketing,17742,10,softwaredev,3833,Software Development,3833
65,10579,3833,29,technology,10579,Technology,10579,10,softwaredev,3833,Software Development,3833
66,7848,3833,726,electronics,7848,Electronics,7848,10,softwaredev,3833,Software Development,3833
67,10209,3833,2,web,10209,Web Technology,10209,10,softwaredev,3833,Software Development,3833
68,497332,3833,5618,mobile-design-and-development,497332,Mobile Design and Development,497332,10,softwaredev,3833,Software Development,3833
69,16325,3833,602,software-engineering,16325,Software Engineering,16325,10,softwaredev,3833,Software Development,3833
70,917242,3833,4424,python-web-development,917242,Python Web Development,917242,10,softwaredev,3833,Software Development,3833
71,18062,3833,433,big-data,18062,Big Data,18062,10,softwaredev,3833,Software Development,3833
72,17629,3833,18051,stackless-python,17629,Stackless Python,17629,10,softwaredev,3833,Software Development,3833
73,61781,3833,148,ux-design,61781,UX Design,61781,10,softwaredev,3833,Software Development,3833
74,85951,3833,4,javascript-frameworks,85951,JavaScript Frameworks,85951,10,softwaredev,3833,Software Development,3833
75,15720,3833,172,professional-networking,15720,Professional Networking,15720,10,softwaredev,3833,Software Development,3833
76,85534,3833,5612,mobile-design,85534,Mobile Design,85534,10,softwaredev,3833,Software Development,3833
77,91146,3833,4741,tech-talks,91146,Tech Talks,91146,10,softwaredev,3833,Software Development,3833
78,405512,3833,2320,backbone-js,405512,Backbone.js,405512,10,softwaredev,3833,Software Development,3833
79,107583,3833,3958,ui-design,107583,UI Design,107583,10,softwaredev,3833,Software Development,3833
80,48471,3833,32,computer-programming,48471,Computer programming,48471,10,softwaredev,3833,Software Development,3833
81,172427,3833,1014,qa-tools-and-practices,172427,QA Tools and Practices,172427,10,softwaredev,3833,Software Development,3833
82,15401,3833,429,social-media,15401,Social Media,15401,10,softwaredev,3833,Software Development,3833
83,43887,3833,733,makers,43887,Makers,43887,10,softwaredev,3833,Software Development,3833
84,172426,3833,2562,software-development-technologies,172426,Software Development Technologies,172426,10,softwaredev,3833,Software Development,3833
85,72377,3833,15449,functional-and-regression-testing,72377,Functional and Regression Testing,72377,10,softwaredev,3833,Software Development,3833
86,65172,3833,329,test-automation,65172,Test Automation,65172,10,softwaredev,3833,Software Development,3833
87,28990,3833,31,cms,28990,CMS (Content Management Systems),28990,10,softwaredev,3833,Software Development,3833
88,842232,3833,4743,software-development-process,842232,Software Development Process,842232,10,softwaredev,3833,Software Development,3833
89,104717,3833,2065,user-interface-design,104717,User Interface Design,104717,10,softwaredev,3833,Software Development,3833
90,108403,3833,122,technology-startups,108403,Technology Startups,108403,10,softwaredev,3833,Software Development,3833
91,21549,3833,83,agile-project-management,21549,Agile Project Management,21549,10,softwaredev,3833,Software Development,3833
