,year,LAD,comparative_adv,Topics
0,2012,Pembrokeshire,0.0,IT_operations
1,2013,Pembrokeshire,0.0,IT_operations
2,2014,Pembrokeshire,0.0,IT_operations
3,2015,Pembrokeshire,0.0,IT_operations
5,2012,Blaenau Gwent,0.0,IT_operations
6,2013,Blaenau Gwent,0.0,IT_operations
7,2014,Blaenau Gwent,0.0,IT_operations
8,2015,Blaenau Gwent,0.0,IT_operations
10,2012,Carmarthenshire,0.0,IT_operations
11,2013,Carmarthenshire,0.0,IT_operations
12,2014,Carmarthenshire,0.0,IT_operations
13,2015,Carmarthenshire,0.0,IT_operations
15,2012,Cardiff,0.0,IT_operations
16,2013,Cardiff,2.5236088184464958,IT_operations
17,2014,Cardiff,1.9083571972837967,IT_operations
18,2015,Cardiff,2.0074276821177106,IT_operations
20,2012,Swansea,0.0,IT_operations
21,2013,Swansea,0.0,IT_operations
22,2014,Swansea,2.5455761808188533,IT_operations
23,2015,Swansea,1.9299035622572456,IT_operations
25,2012,Gwynedd,0.0,IT_operations
26,2013,Gwynedd,0.0,IT_operations
27,2014,Gwynedd,0.0,IT_operations
28,2015,Gwynedd,0.0,IT_operations
30,2012,Pembrokeshire,0.0,Video Games - AR/VR
31,2013,Pembrokeshire,0.0,Video Games - AR/VR
32,2014,Pembrokeshire,0.0,Video Games - AR/VR
33,2015,Pembrokeshire,0.0,Video Games - AR/VR
35,2012,Blaenau Gwent,0.0,Video Games - AR/VR
36,2013,Blaenau Gwent,0.0,Video Games - AR/VR
37,2014,Blaenau Gwent,0.0,Video Games - AR/VR
38,2015,Blaenau Gwent,0.0,Video Games - AR/VR
40,2012,Carmarthenshire,0.0,Video Games - AR/VR
41,2013,Carmarthenshire,0.0,Video Games - AR/VR
42,2014,Carmarthenshire,0.0,Video Games - AR/VR
43,2015,Carmarthenshire,0.0,Video Games - AR/VR
45,2012,Cardiff,0.0,Video Games - AR/VR
46,2013,Cardiff,0.0,Video Games - AR/VR
47,2014,Cardiff,0.0,Video Games - AR/VR
48,2015,Cardiff,0.0,Video Games - AR/VR
50,2012,Swansea,0.0,Video Games - AR/VR
51,2013,Swansea,0.0,Video Games - AR/VR
52,2014,Swansea,0.0,Video Games - AR/VR
53,2015,Swansea,0.0,Video Games - AR/VR
55,2012,Gwynedd,0.0,Video Games - AR/VR
56,2013,Gwynedd,0.0,Video Games - AR/VR
57,2014,Gwynedd,0.0,Video Games - AR/VR
