,LAD13NM_LGDName,Areas
0,Antrim and Newtownabbey,Northern Ireland
74,Armagh Banbridge and Craigavon,Northern Ireland
148,Belfast,Northern Ireland
2104,Causeway Coast and Glens,Northern Ireland
2136,Derry and Strabane,Northern Ireland
2163,Fermanagh and Omagh,Northern Ireland
2179,Lisburn and Castlereagh,Northern Ireland
2284,Mid and East Antrim,Northern Ireland
2343,Mid Ulster,Northern Ireland
2370,Newry Mourne and Down,Northern Ireland
2460,East Coast,Northern Ireland
2554,Clackmannanshire,Scotland
2565,Dumfries and Galloway,Scotland
2572,East Ayrshire,Scotland
2586,East Lothian,Scotland
2634,East Renfrewshire,Scotland
2682,Falkirk,Scotland
2730,Fife,Scotland
2835,Highland,Scotland
2918,Inverclyde,Scotland
2926,Midlothian,Scotland
2977,Moray,Scotland
2987,North Ayrshire,Scotland
3007,Orkney Islands,Scotland
3008,Perth and Kinross,Scotland
3033,Scottish Borders,Scotland
3052,South Ayrshire,Scotland
3070,South Lanarkshire,Scotland
3165,Stirling,Scotland
3195,Aberdeen City,Scotland
3367,Aberdeenshire,Scotland
3405,Argyll and Bute,Scotland
3416,City of Edinburgh,Scotland
6648,Renfrewshire,Scotland
6713,West Dunbartonshire,Scotland
6734,West Lothian,Scotland
6810,Angus,Scotland
6835,Dundee City,Scotland
6934,North Lanarkshire,Scotland
7001,East Dunbartonshire,Scotland
7041,Glasgow City,Scotland
8587,Hartlepool,England
8600,Middlesbrough,England
8641,Redcar and Cleveland,England
8734,Stockton-on-Tees,England
8772,Darlington,England
8806,Halton,England
8857,Warrington,England
9320,Blackburn with Darwen,England
9355,Blackpool,England
9378,"Kingston upon Hull, City of",England
10049,East Riding of Yorkshire,England
10202,North East Lincolnshire,England
10234,North Lincolnshire,England
10271,York,England
10519,Derby,England
10824,Leicester,England
11691,Rutland,England
11728,Nottingham,England
12917,"Herefordshire, County of",England
13025,Telford and Wrekin,England
13077,Stoke-on-Trent,England
13163,Bath and North East Somerset,England
14442,"Bristol, City of",England
18844,North Somerset,England
19029,South Gloucestershire,England
19376,Plymouth,England
19572,Torbay,England
19616,Bournemouth,England
19974,Poole,England
20088,Swindon,England
20315,Peterborough,England
20867,Luton,England
21072,Southend-on-Sea,England
21210,Thurrock,England
21308,Medway,England
21462,Bracknell Forest,England
21651,West Berkshire,England
22059,Reading,England
23223,Slough,England
23454,Windsor and Maidenhead,England
23819,Wokingham,England
24286,Milton Keynes,England
25019,Brighton and Hove,England
27573,Portsmouth,England
27715,Southampton,England
28276,Isle of Wight,England
28311,County Durham,England
