,Meetup Tag,2013,2013_2014,2013_2014_2015,2013_2014_2015_2016
0,Windows 8,0.0,0.0,0.0,0.0
1,Web Design,0.0,0.0020814913056292367,0.060310314947197165,0.05969394774866005
2,Cloud Computing,0.1777017017017017,0.16088110121435648,0.07667685543518674,0.07571195394503705
3,Computing,0.0,0.0,0.0,0.0
4,Web Technology,0.0,0.00538386079227084,0.0110844173740617,0.012819261833029148
5,Big Data,0.003107107107107107,0.014983560058194697,0.02807512589937566,0.027856451400103736
6,Mobile Design,0.0,0.0,0.0,0.0
7,JavaScript,0.0,0.00538386079227084,0.0028595949286885297,0.0027992353599472146
8,Technology,0.0,0.0,0.030383559836587738,0.0301148858971908
9,JavaScript Libraries,0.0,0.00538386079227084,0.0028595949286885297,0.0027992353599472146
10,Mobile Technology,0.0,0.0,0.010430650564605312,0.013196507120596064
11,Spatial Data,0.0,0.0,0.0,0.0
12,Data Science,0.003107107107107107,0.00439026340167964,0.004675939353799393,0.004673096041027142
13,Business Intelligence,0.003107107107107107,0.00439026340167964,0.0019375862100641545,0.0019425101797421913
14,Web Development,0.0,0.048713008067041444,0.030940282122584473,0.034376312898215175
15,Data Management,0.0,0.0,0.0,0.0
16,Open Data,0.0,0.0,0.0011012671354227335,0.001078021881804388
17,Explore: Agile Scrum XP Lean Kanban,0.0,0.0,0.0,0.0
18,Product management in agile,0.0,0.0,0.0,0.0
19,High-Tech Professional,0.0,0.0,0.0,0.0
20,Predictive Analytics,0.0,0.00174162707319206,0.0005366954582973758,0.0005253670333924159
21,C#,0.0,0.0,0.006582917055519249,0.006438346578368619
22,Agile Transformation,0.0,0.0,0.0,0.0
23,Agile Project Management,0.0,0.07643758229523039,0.022430349581548093,0.022095341489468394
24,Best Practices in IT/Web Solutions Design and Dev,0.0,0.0,0.0,0.0
25,Windows Phone Developers,0.0,0.0,0.0,0.0
26,Agile Coaching,0.0,0.0,0.00832024816844551,0.008251861659200542
27,Meteor,0.0,0.00538386079227084,0.0028595949286885297,0.0027992353599472146
28,Data Analytics,0.003107107107107107,0.014983560058194697,0.009083383196720968,0.00903575498110324
29,Data Visualization,0.003107107107107107,0.014983560058194697,0.009083383196720968,0.00903575498110324
30,High Performance Computing,0.0,0.0,0.0,0.0
31,Technology Professionals,0.0,0.0,0.0031616237452927855,0.0032502498263270677
32,Agile Leadership,0.0,0.0,0.0,0.0
33,JQuery,0.0,0.0,0.0,0.0
34,Database Professionals,0.0,0.0,0.0,0.0
35,Backbone.js,0.0,0.0,0.0,0.0
36,Software Engineering,0.0,0.0,0.0032216801502825926,0.003222954448065619
37,New Product Development: Software & Tech,0.0,0.0,0.004903423021861031,0.004938476203688149
38,Computer programming,0.36158558558558557,0.15734481974339992,0.14195323303682802,0.1465512622823371
39,Lean Startup,0.0,0.0,0.0,0.0
40,HTML5,0.0,0.0,0.0005235454174560609,0.0005064101720636677
41,Linked Data,0.0,0.005607541670760061,0.0016310453387081362,0.00159661766776276
42,Scrum,0.0,0.0,0.0,0.0
43,Machine Learning,0.0,0.00174162707319206,0.012845914410282764,0.012758054362575919
44,Windows Phone,0.0,0.0,0.0,0.0
45,Software Development Process,0.0,0.0,0.0,0.0
46,Tech Talks,0.11855855855855854,0.08542002909819002,0.018528545836736302,0.0182485435583253
47,Data Mining,0.003107107107107107,0.00439026340167964,0.0019375862100641545,0.0019425101797421913
48,.NET,0.0,0.0,0.006582917055519249,0.006438346578368619
49,Windows Phone 8 Development,0.0,0.0,0.0,0.0
50,Extreme Programming,0.0,0.0,0.0,0.0
51,Kanban,0.0,0.0,0.0,0.0
52,Computers,0.0,0.0,0.0,0.0
53,Windows 8 Metro App Development,0.0,0.0,0.0,0.0
54,Mobile Design and Development,0.0,0.0,0.0,0.0
55,Database Development,0.0,0.0,0.0,0.0
56,User Interface Design,0.0,0.0,0.0,0.0
57,Microsoft Technology,0.0,0.0,0.0,0.0
58,Windows 8 Development,0.0,0.0,0.0,0.0
59,Big Data Analytics,0.003107107107107107,0.00439026340167964,0.0019375862100641545,0.0019425101797421913
60,Mobile Development,0.0,0.0,0.027845572466263874,0.02695198626012092
61,Computer Science,0.0,0.0,0.0,0.0
62,Computer Training,0.0,0.0,0.0,0.0
63,Rich Internet Applications,0.0,0.00538386079227084,0.0028595949286885297,0.0027992353599472146
64,Information Technology in Business,0.0,0.0,0.0,0.0
65,Social Networking for Software Developers,0.0,0.0,0.0,0.0
66,Lean Project Management,0.0,0.0,0.0,0.0
67,JavaScript Frameworks,0.0,0.00538386079227084,0.005288143046436947,0.0051704379422768025
68,Software Development Technologies,0.0,0.0,0.0,0.0
69,Hadoop,0.003107107107107107,0.0013168210598907013,0.0006092712818204381,0.0006140893243393736
70,Information Technology,0.0,0.0,0.0,0.0
71,New Technology,0.0,0.06504840371993335,0.06870174431147322,0.06751639374010901
72,Science & Technology,0.0,0.0,0.0,0.0
73,Open Source,0.12072072072072072,0.2169331128054537,0.12218373151795324,0.12033278349311498
74,Software Development,0.4055855855855856,0.2942684869409007,0.18891182395304493,0.18545506606619344
75,SQL Server,0.0,0.0,0.0,0.0
76,CMS (Content Management Systems),,0.0,0.0,0.0
77,Continuous Deployment,,0.0,0.0,0.0
78,Open Source Community,,0.0,0.0,0.0
79,Interest Graphs,,0.0,0.0,0.0
80,Internet Professionals,,0.0,0.00240507041875284,0.0023491585658618748
81,Marketing,,0.0,0.0,0.0
82,Social Media Marketing,,0.0,0.0,0.0
83,Data Center and Operations Automation,,0.0,0.0,0.0
84,Dev Ops,,0.0,0.0,0.0
85,Online Marketing,,0.0,0.017175839226037586,0.016927800613210926
86,NoSQL,,0.0,0.0,0.0
87,System Administration,,0.0,0.0,0.0
88,Applied Statistics,,0.0,0.0,0.0
89,JavaScript Applications,,0.0,0.0,0.0
90,Data Structures,,0.0,0.0,0.0
91,Neo4j-Social,,0.0,0.0,0.0
92,Server Side Javascript,,0.0,0.0,0.0
93,Software QA and Testing,,0.0,0.007667664308971319,0.007720287441020044
94,Software Craftsmanship,,0.0,0.0,0.0
95,R Project for Statistical Computing,,0.0,0.0,0.0
96,Configuration Management,,0.0,0.0,0.0
97,Graph Databases,,0.0,0.0,0.0
98,UX Design,,0.01417221029289995,0.003108431678867594,0.003042819730225505
99,Web Standards,,0.0,0.0,0.0
100,Database Design & Development,,0.0,0.0,0.0
